Code,Name,Year,Month,Day,Rate 1 (For USD),Rate 2 (For SOM)
SOM       ,KYRGYZ SOM                    ,2022,1,5,84.8,1
SOM       ,Kyrgyz Soms                   ,2022,1,5,84.8,1
USD       ,UNITED STATES DOLLAR          ,2022,1,5,1,0.011792453
USD       ,United States Dollars         ,2022,1,5,1,0.011792453
AUD       ,Australia Dollars             ,2022,1,5,1.3811,0.016286557
CHF       ,Switzerland Francs            ,2022,1,5,0.9162,0.010804245
AUD       ,Australia Dollars             ,2022,1,5,1.3811,0.016286557
CHF       ,Switzerland Francs            ,2022,1,5,0.9162,0.010804245
CND       ,CANADIAN DOLLAR               ,2022,1,5,1.2704,0.014981132
CND       ,Canadian Dollars              ,2022,1,5,1.2704,0.014981132
EU        ,EURO                          ,2022,1,5,0.8862,0.010450472
CND       ,CANADIAN DOLLAR               ,2022,1,5,1.2704,0.014981132
CND       ,Canadian Dollars              ,2022,1,5,1.2704,0.014981132
GBP       ,BRITISH POUND                 ,2022,1,5,0.73904,0.008715094
EU        ,EURO                          ,2022,1,5,0.8862,0.010450472
KZT       ,KAZAKHSTAN TENGE              ,2022,1,5,434.78,5.127122642
GBP       ,BRITISH POUND                 ,2022,1,5,0.73904,0.008715094
RR        ,RUSSIAN RUBLES                ,2022,1,5,75.292,0.887877358
KZT       ,KAZAKHSTAN TENGE              ,2022,1,5,434.78,5.127122642
SOM       ,KYRGYZ SOM                    ,2022,1,5,84.8,1
SOM       ,Kyrgyz Soms                   ,2022,1,5,84.8,1
RR        ,RUSSIAN RUBLES                ,2022,1,5,75.292,0.887877358
USD       ,UNITED STATES DOLLAR          ,2022,1,5,1,0.011792453
USD       ,United States Dollars         ,2022,1,5,1,0.011792453
KZT       ,KAZAKHSTAN TENGE              ,2022,1,4,435.15,5.131485849
SOM       ,KYRGYZ SOM                    ,2022,1,4,84.8,1
SOM       ,Kyrgyz Soms                   ,2022,1,4,84.8,1
USD       ,UNITED STATES DOLLAR          ,2022,1,4,1,0.011792453
USD       ,United States Dollars         ,2022,1,4,1,0.011792453
USD       ,UNITED STATES DOLLAR          ,2022,1,4,1,0.011792453
USD       ,United States Dollars         ,2022,1,4,1,0.011792453
RR        ,RUSSIAN RUBLES                ,2022,1,4,74.41,0.877476415
AUD       ,Australia Dollars             ,2022,1,4,1.3896,0.016386792
AUD       ,Australia Dollars             ,2022,1,4,1.3896,0.016386792
CHF       ,Switzerland Francs            ,2022,1,4,0.9186,0.010832547
CND       ,CANADIAN DOLLAR               ,2022,1,4,1.2751,0.015036557
CND       ,Canadian Dollars              ,2022,1,4,1.2751,0.015036557
CHF       ,Switzerland Francs            ,2022,1,4,0.9186,0.010832547
EU        ,EURO                          ,2022,1,4,0.885,0.010436321
CND       ,CANADIAN DOLLAR               ,2022,1,4,1.2751,0.015036557
CND       ,Canadian Dollars              ,2022,1,4,1.2751,0.015036557
GBP       ,BRITISH POUND                 ,2022,1,4,0.74173,0.008746816
EU        ,EURO                          ,2022,1,4,0.885,0.010436321
KZT       ,KAZAKHSTAN TENGE              ,2022,1,4,435.15,5.131485849
GBP       ,BRITISH POUND                 ,2022,1,4,0.74173,0.008746816
RR        ,RUSSIAN RUBLES                ,2022,1,4,74.41,0.877476415
SOM       ,KYRGYZ SOM                    ,2022,1,4,84.8,1
SOM       ,Kyrgyz Soms                   ,2022,1,4,84.8,1
SOM       ,KYRGYZ SOM                    ,2022,1,3,84.8,1
SOM       ,Kyrgyz Soms                   ,2022,1,3,84.8,1
RR        ,RUSSIAN RUBLES                ,2022,1,3,74.988,0.884292453
KZT       ,KAZAKHSTAN TENGE              ,2022,1,3,435.06,5.130424528
SOM       ,KYRGYZ SOM                    ,2022,1,3,84.8,1
SOM       ,Kyrgyz Soms                   ,2022,1,3,84.8,1
GBP       ,BRITISH POUND                 ,2022,1,3,0.73954,0.008720991
RR        ,RUSSIAN RUBLES                ,2022,1,3,74.988,0.884292453
EU        ,EURO                          ,2022,1,3,0.8793,0.010369104
KZT       ,KAZAKHSTAN TENGE              ,2022,1,3,435.06,5.130424528
CND       ,CANADIAN DOLLAR               ,2022,1,3,1.2656,0.014924528
CND       ,Canadian Dollars              ,2022,1,3,1.2656,0.014924528
GBP       ,BRITISH POUND                 ,2022,1,3,0.73954,0.008720991
CHF       ,Switzerland Francs            ,2022,1,3,0.9121,0.010755896
AUD       ,Australia Dollars             ,2022,1,3,1.3759,0.016225236
CHF       ,Switzerland Francs            ,2022,1,3,0.9121,0.010755896
CND       ,CANADIAN DOLLAR               ,2022,1,3,1.2656,0.014924528
CND       ,Canadian Dollars              ,2022,1,3,1.2656,0.014924528
EU        ,EURO                          ,2022,1,3,0.8793,0.010369104
USD       ,UNITED STATES DOLLAR          ,2022,1,3,1,0.011792453
USD       ,United States Dollars         ,2022,1,3,1,0.011792453
USD       ,UNITED STATES DOLLAR          ,2022,1,3,1,0.011792453
USD       ,United States Dollars         ,2022,1,3,1,0.011792453
AUD       ,Australia Dollars             ,2022,1,3,1.3759,0.016225236
AUD       ,Australia Dollars             ,2022,1,2,1.3765,0.016232311
CHF       ,Switzerland Francs            ,2022,1,2,0.9117,0.010751179
AUD       ,Australia Dollars             ,2022,1,2,1.3765,0.016232311
CHF       ,Switzerland Francs            ,2022,1,2,0.9117,0.010751179
CND       ,CANADIAN DOLLAR               ,2022,1,2,1.264,0.01490566
CND       ,Canadian Dollars              ,2022,1,2,1.264,0.01490566
EU        ,EURO                          ,2022,1,2,0.8792,0.010367925
CND       ,CANADIAN DOLLAR               ,2022,1,2,1.264,0.01490566
CND       ,Canadian Dollars              ,2022,1,2,1.264,0.01490566
GBP       ,BRITISH POUND                 ,2022,1,2,0.73899,0.008714505
EU        ,EURO                          ,2022,1,2,0.8792,0.010367925
KZT       ,KAZAKHSTAN TENGE              ,2022,1,2,435.08,5.130660377
GBP       ,BRITISH POUND                 ,2022,1,2,0.73899,0.008714505
RR        ,RUSSIAN RUBLES                ,2022,1,2,74.789,0.881945755
KZT       ,KAZAKHSTAN TENGE              ,2022,1,2,435.08,5.130660377
SOM       ,KYRGYZ SOM                    ,2022,1,2,84.8,1
SOM       ,Kyrgyz Soms                   ,2022,1,2,84.8,1
USD       ,UNITED STATES DOLLAR          ,2022,1,2,1,0.011792453
USD       ,United States Dollars         ,2022,1,2,1,0.011792453
RR        ,RUSSIAN RUBLES                ,2022,1,2,74.789,0.881945755
SOM       ,KYRGYZ SOM                    ,2022,1,2,84.8,1
SOM       ,Kyrgyz Soms                   ,2022,1,2,84.8,1
USD       ,UNITED STATES DOLLAR          ,2022,1,2,1,0.011792453
USD       ,United States Dollars         ,2022,1,2,1,0.011792453
RR        ,RUSSIAN RUBLES                ,2022,1,1,74.789,0.881945755
USD       ,UNITED STATES DOLLAR          ,2022,1,1,1,0.011792453
USD       ,United States Dollars         ,2022,1,1,1,0.011792453
SOM       ,KYRGYZ SOM                    ,2022,1,1,84.8,1
SOM       ,Kyrgyz Soms                   ,2022,1,1,84.8,1
USD       ,UNITED STATES DOLLAR          ,2022,1,1,1,0.011792453
USD       ,United States Dollars         ,2022,1,1,1,0.011792453
KZT       ,KAZAKHSTAN TENGE              ,2022,1,1,435.08,5.130660377
SOM       ,KYRGYZ SOM                    ,2022,1,1,84.8,1
SOM       ,Kyrgyz Soms                   ,2022,1,1,84.8,1
GBP       ,BRITISH POUND                 ,2022,1,1,0.73899,0.008714505
RR        ,RUSSIAN RUBLES                ,2022,1,1,74.789,0.881945755
EU        ,EURO                          ,2022,1,1,0.8794,0.010370283
KZT       ,KAZAKHSTAN TENGE              ,2022,1,1,435.08,5.130660377
CND       ,CANADIAN DOLLAR               ,2022,1,1,1.2639,0.014904481
CND       ,Canadian Dollars              ,2022,1,1,1.2639,0.014904481
GBP       ,BRITISH POUND                 ,2022,1,1,0.73899,0.008714505
CHF       ,Switzerland Francs            ,2022,1,1,0.9117,0.010751179
AUD       ,Australia Dollars             ,2022,1,1,1.3758,0.016224057
CHF       ,Switzerland Francs            ,2022,1,1,0.9117,0.010751179
CND       ,CANADIAN DOLLAR               ,2022,1,1,1.2639,0.014904481
